"","D","m","method"
"1",0,0.252047139495003,"MIRAGE"
"2",0,0.243318116167511,"MIRAGE"
"3",0,0.499254557939094,"MIRAGE"
"4",1,0,"MIRAGE"
"5",1,0,"MIRAGE"
"6",0,0.211145367223604,"MIRAGE"
"7",0,0.655203041622115,"MIRAGE"
"8",1,0,"MIRAGE"
"9",0,0.492188156969335,"MIRAGE"
"10",0,0.442847639912461,"MIRAGE"
"11",1,0,"MIRAGE"
"12",0,0.497472519227619,"MIRAGE"
"13",0,0.319527268126976,"MIRAGE"
"14",0,0.461372270096367,"MIRAGE"
"15",0,0.64877531729859,"MIRAGE"
"16",1,5.46900088758481e-24,"MIRAGE"
"17",0,0.351238185913305,"MIRAGE"
"18",0,0.515934088253521,"MIRAGE"
"19",0,0.193454735695619,"MIRAGE"
"20",1,0.176359648871665,"MIRAGE"
"21",1,0,"MIRAGE"
"22",0,0.518416202444983,"MIRAGE"
"23",0,0.372820441989585,"MIRAGE"
"24",1,0,"MIRAGE"
"25",0,0.341726664287532,"MIRAGE"
"26",0,0.167960660701379,"MIRAGE"
"27",0,0.496976198509225,"MIRAGE"
"28",0,0.547295289739214,"MIRAGE"
"29",0,0.463641570949867,"MIRAGE"
"30",0,0.451914190251894,"MIRAGE"
"31",1,2.93066624777391e-26,"MIRAGE"
"32",1,0,"MIRAGE"
"33",0,0.469142605737048,"MIRAGE"
"34",0,0.372154709385524,"MIRAGE"
"35",0,0.652701592046867,"MIRAGE"
"36",0,0.254181902992703,"MIRAGE"
"37",0,0.514961350147567,"MIRAGE"
"38",0,0.589622096517992,"MIRAGE"
"39",0,0.289230026125533,"MIRAGE"
"40",0,0.147075981614183,"MIRAGE"
"41",0,0.0955331639248315,"MIRAGE"
"42",0,0.382908500769583,"MIRAGE"
"43",0,0.503017764067263,"MIRAGE"
"44",0,0.486504832855276,"MIRAGE"
"45",0,0.438871057023783,"MIRAGE"
"46",0,0.386461337932262,"MIRAGE"
"47",0,0.382741111346197,"MIRAGE"
"48",0,0.41652168146139,"MIRAGE"
"49",0,0.535025696683201,"MIRAGE"
"50",1,8.38072280350775e-05,"MIRAGE"
"51",0,0.534669771382428,"MIRAGE"
"52",0,0.0231816651020049,"MIRAGE"
"53",0,0.405222909932985,"MIRAGE"
"54",0,0.508637011171019,"MIRAGE"
"55",0,0.313699334663929,"MIRAGE"
"56",0,0.558993266068331,"MIRAGE"
"57",0,0.394151221033765,"MIRAGE"
"58",0,0.622688170375114,"MIRAGE"
"59",1,0.149311298471212,"MIRAGE"
"60",0,0.361177457883816,"MIRAGE"
"61",0,0.313316483297443,"MIRAGE"
"62",0,0.521504830200885,"MIRAGE"
"63",0,0.0427111121050838,"MIRAGE"
"64",0,0.413597848003889,"MIRAGE"
"65",1,0.0810278166998483,"MIRAGE"
"66",0,0.613206518118368,"MIRAGE"
"67",1,0,"MIRAGE"
"68",1,0,"MIRAGE"
"69",0,0.414327780160189,"MIRAGE"
"70",0,0.244111772290604,"MIRAGE"
"71",0,0.490001123854571,"MIRAGE"
"72",0,0.50748485945586,"MIRAGE"
"73",0,0.689331282721594,"MIRAGE"
"74",0,0.276426596621267,"MIRAGE"
"75",0,0.45638503037767,"MIRAGE"
"76",0,0.456066767622571,"MIRAGE"
"77",0,0.656180162303242,"MIRAGE"
"78",0,0.240100150903855,"MIRAGE"
"79",0,0.502534493221492,"MIRAGE"
"80",0,0.500953232962685,"MIRAGE"
"81",0,0.250563972308309,"MIRAGE"
"82",0,0.455000849333873,"MIRAGE"
"83",0,0.488391721591866,"MIRAGE"
"84",0,0.330008963916813,"MIRAGE"
"85",0,0.584280225428317,"MIRAGE"
"86",0,0.341922056925169,"MIRAGE"
"87",1,0.00134094402433883,"MIRAGE"
"88",1,0.0172684744615918,"MIRAGE"
"89",1,0,"MIRAGE"
"90",0,0.463485996056354,"MIRAGE"
"91",0,0.466722458448529,"MIRAGE"
"92",0,0.476618261374381,"MIRAGE"
"93",0,0.40380993934179,"MIRAGE"
"94",0,0.384301615955417,"MIRAGE"
"95",0,0.213486092757345,"MIRAGE"
"96",0,0.394016021219019,"MIRAGE"
"97",0,0.367103253647864,"MIRAGE"
"98",0,0.11544232764558,"MIRAGE"
"99",0,0.451798171527504,"MIRAGE"
"100",0,0.315198198413226,"MIRAGE"
"101",0,0.293556798321202,"Burden"
"102",0,0.972035056897741,"Burden"
"103",0,0.26621524451044,"Burden"
"104",1,1,"Burden"
"105",1,0.335718013534721,"Burden"
"106",0,0.0965467269370735,"Burden"
"107",0,0.660557515428915,"Burden"
"108",1,0.0857876323275095,"Burden"
"109",0,1,"Burden"
"110",0,1,"Burden"
"111",1,0.457628561124697,"Burden"
"112",0,0.0502289757391003,"Burden"
"113",0,0.273032650259612,"Burden"
"114",0,0.0127632089557234,"Burden"
"115",0,0.292768131343093,"Burden"
"116",1,0.0081663010243499,"Burden"
"117",0,0.196313793931775,"Burden"
"118",0,0.0730307572208314,"Burden"
"119",0,0.177806861021087,"Burden"
"120",1,0.698354451749058,"Burden"
"121",1,0.620978534509115,"Burden"
"122",0,0.0389448047550793,"Burden"
"123",0,0.589369104401993,"Burden"
"124",1,0.529143320239375,"Burden"
"125",0,0.975829870274058,"Burden"
"126",0,1.53403650953318e-05,"Burden"
"127",0,0.678176230154481,"Burden"
"128",0,0.44317500001992,"Burden"
"129",0,0.760978389983561,"Burden"
"130",0,0.923788151984329,"Burden"
"131",1,0.24477463196689,"Burden"
"132",1,0.785238404439464,"Burden"
"133",0,0.534212383174031,"Burden"
"134",0,0.966351850479201,"Burden"
"135",0,0.0211300727968076,"Burden"
"136",0,0.0813969848194106,"Burden"
"137",0,0.108277829447111,"Burden"
"138",0,0.808201430564908,"Burden"
"139",0,0.409884402653023,"Burden"
"140",0,0.810773764595772,"Burden"
"141",0,0.310782650251282,"Burden"
"142",0,0.0352010538325901,"Burden"
"143",0,1,"Burden"
"144",0,0.434031413033387,"Burden"
"145",0,0.767511198625591,"Burden"
"146",0,0.0343123809336501,"Burden"
"147",0,0.300635526706661,"Burden"
"148",0,0.441915570553329,"Burden"
"149",0,0.212142218841753,"Burden"
"150",1,0.52977471919757,"Burden"
"151",0,0.873663166726561,"Burden"
"152",0,0.0635523335190453,"Burden"
