"","D","m","method"
"1",0,0.13379716280258,"MIRAGE"
"2",0,0.21759319257686,"MIRAGE"
"3",0,0.305082739959213,"MIRAGE"
"4",0,0.298634108407591,"MIRAGE"
"5",1,0.149438651031905,"MIRAGE"
"6",0,0.249400798632184,"MIRAGE"
"7",0,0.269373547307932,"MIRAGE"
"8",0,0.290815009436494,"MIRAGE"
"9",0,0.261153227162657,"MIRAGE"
"10",0,0.285259863341766,"MIRAGE"
"11",1,0.28799465942718,"MIRAGE"
"12",0,0.175760216353322,"MIRAGE"
"13",0,0.304108184695372,"MIRAGE"
"14",0,0.113441516473896,"MIRAGE"
"15",0,0.230500693549265,"MIRAGE"
"16",0,0.280676326150429,"MIRAGE"
"17",0,0.290483051544802,"MIRAGE"
"18",0,0.23577073898051,"MIRAGE"
"19",0,0.296084051524163,"MIRAGE"
"20",1,0,"MIRAGE"
"21",0,0.284877300698536,"MIRAGE"
"22",0,0.340156514280746,"MIRAGE"
"23",0,0.22444124427003,"MIRAGE"
"24",1,0,"MIRAGE"
"25",0,0.294689813058092,"MIRAGE"
"26",0,0.299420237075954,"MIRAGE"
"27",0,0.187644561946666,"MIRAGE"
"28",0,0.197279589543725,"MIRAGE"
"29",0,0.279811073849019,"MIRAGE"
"30",0,0.204520473006073,"MIRAGE"
"31",1,6.88275765344182e-09,"MIRAGE"
"32",1,0,"MIRAGE"
"33",0,0.29847915671386,"MIRAGE"
"34",0,0.287387956620148,"MIRAGE"
"35",0,0.267189092287893,"MIRAGE"
"36",0,0.178575622850271,"MIRAGE"
"37",0,0.238699117074614,"MIRAGE"
"38",0,0.335446590926509,"MIRAGE"
"39",0,0.197581906337281,"MIRAGE"
"40",0,0.255320801201944,"MIRAGE"
"41",0,0.276348856874824,"MIRAGE"
"42",0,0.305697127623101,"MIRAGE"
"43",0,0.282735714314066,"MIRAGE"
"44",0,0.268774485490881,"MIRAGE"
"45",0,0.138524064096504,"MIRAGE"
"46",0,0.224647118190925,"MIRAGE"
"47",0,0.254783033080783,"MIRAGE"
"48",0,0.266957046461202,"MIRAGE"
"49",0,0.303955610770316,"MIRAGE"
"50",0,0.155277180147638,"MIRAGE"
"51",0,0.187479742009602,"MIRAGE"
"52",0,0.23722983917626,"MIRAGE"
"53",0,0.238922177923961,"MIRAGE"
"54",0,0.298965599747905,"MIRAGE"
"55",0,0.249851119647761,"MIRAGE"
"56",0,0.302106497376175,"MIRAGE"
"57",0,0.200090688438135,"MIRAGE"
"58",0,0.342951546336326,"MIRAGE"
"59",0,0.22644339544384,"MIRAGE"
"60",0,0.288187364385731,"MIRAGE"
"61",0,0.273569483976411,"MIRAGE"
"62",0,0.30684581796979,"MIRAGE"
"63",0,0.148874601901018,"MIRAGE"
"64",0,0.276614937647062,"MIRAGE"
"65",0,0.356419759019571,"MIRAGE"
"66",0,0.260754506309152,"MIRAGE"
"67",0,0.279918527516339,"MIRAGE"
"68",0,0.119206745599558,"MIRAGE"
"69",0,0.260513416080001,"MIRAGE"
"70",0,0.214910957815648,"MIRAGE"
"71",0,0.263199534800432,"MIRAGE"
"72",0,0.267348653360419,"MIRAGE"
"73",0,0.291173794302967,"MIRAGE"
"74",0,0.284411136724121,"MIRAGE"
"75",0,0.297695075139584,"MIRAGE"
"76",0,0.298136157840252,"MIRAGE"
"77",0,0.23813093218929,"MIRAGE"
"78",0,0.27621166335956,"MIRAGE"
"79",0,0.13095391426193,"MIRAGE"
"80",0,0.170300836505642,"MIRAGE"
"81",0,0.282246599764778,"MIRAGE"
"82",0,0.300765308692342,"MIRAGE"
"83",0,0.24841940268468,"MIRAGE"
"84",0,0.301329359534312,"MIRAGE"
"85",0,0.265814731932534,"MIRAGE"
"86",0,0.24320514423357,"MIRAGE"
"87",1,0.211825815962692,"MIRAGE"
"88",0,0.20645563362242,"MIRAGE"
"89",0,0.268973178591338,"MIRAGE"
"90",0,0.21124526187028,"MIRAGE"
"91",0,0.318801199427662,"MIRAGE"
"92",0,0.297392162575232,"MIRAGE"
"93",0,0.189743247733311,"MIRAGE"
"94",0,0.26947318993702,"MIRAGE"
"95",0,0.205554164130475,"MIRAGE"
"96",0,0.214163135451176,"MIRAGE"
"97",0,0.252032652474546,"MIRAGE"
"98",0,0.204610038697009,"MIRAGE"
"99",0,0.303802053872164,"MIRAGE"
"100",0,0.27863196197034,"MIRAGE"
"101",0,0.293556798321202,"Burden"
"102",0,0.972035056897741,"Burden"
"103",0,0.266215244510441,"Burden"
"104",0,0.8152725773846,"Burden"
"105",1,0.387689529042139,"Burden"
"106",0,0.534008443122547,"Burden"
"107",0,0.0422779213841783,"Burden"
"108",0,0.0191479934583364,"Burden"
"109",0,0.0127433309183254,"Burden"
"110",0,0.00514486174147075,"Burden"
"111",1,0.00016108060798824,"Burden"
"112",0,0.425089494163933,"Burden"
"113",0,0.969087431687311,"Burden"
"114",0,0.220122122312906,"Burden"
"115",0,0.0418552317832693,"Burden"
"116",0,0.449283868583807,"Burden"
"117",0,0.0765840483579663,"Burden"
"118",0,0.269043137255708,"Burden"
"119",0,0.918876163259719,"Burden"
"120",1,0.500056663131402,"Burden"
"121",0,0.521730255932266,"Burden"
"122",0,1.63707337445889e-05,"Burden"
"123",0,0.704188714461143,"Burden"
"124",1,0.732687948971753,"Burden"
"125",0,0.166516244993807,"Burden"
"126",0,0.865525993620124,"Burden"
"127",0,0.443841084935214,"Burden"
"128",0,0.528837297025994,"Burden"
"129",0,0.00323416645195402,"Burden"
"130",0,0.0298926364339818,"Burden"
"131",1,0.881233959947426,"Burden"
"132",1,0.110043438402907,"Burden"
"133",0,0.541840574557665,"Burden"
"134",0,0.612148138737173,"Burden"
"135",0,0.345221206959728,"Burden"
"136",0,0.38914404540577,"Burden"
"137",0,0.000332681169304996,"Burden"
"138",0,0.428932057515488,"Burden"
"139",0,0.0771466572772774,"Burden"
"140",0,0.325585974004075,"Burden"
"141",0,0.258647794233616,"Burden"
"142",0,0.139123533198767,"Burden"
"143",0,0.280635430782961,"Burden"
"144",0,0.469672956486634,"Burden"
"145",0,0.0465680518675738,"Burden"
"146",0,0.812016269110867,"Burden"
"147",0,0.574832848396759,"Burden"
"148",0,0.00563766067544748,"Burden"
"149",0,0.715987462640182,"Burden"
"150",0,0.832818124951409,"Burden"
"151",0,0.159369424964405,"Burden"
"152",0,1,"Burden"
"153",0,0.886525627744863,"Burden"
"154",0,0.549511068037811,"Burden"
"155",0,0.659316459625872,"Burden"
"156",0,0.257656306718314,"Burden"
"157",0,0.625978440832841,"Burden"
"158",0,0.0708202637977404,"Burden"
"159",0,0.265260696572793,"Burden"
"160",0,0.0171309734552361,"Burden"
"161",0,0.161462287987066,"Burden"
"162",0,0.656246862705828,"Burden"
"163",0,0.604144487169679,"Burden"
"164",0,0.642824907099005,"Burden"
"165",0,0.873832860416988,"Burden"
"166",0,0.787734137500033,"Burden"
"167",0,1,"Burden"
"168",0,0.68959386124386,"Burden"
"169",0,0.714774151886159,"Burden"
"170",0,0.454583556094,"Burden"
"171",0,0.516198865912723,"Burden"
"172",0,1,"Burden"
"173",0,0.739244948605221,"Burden"
"174",0,0.243175866290562,"Burden"
"175",0,0.472508673410823,"Burden"
"176",0,0.330087372185441,"Burden"
"177",0,0.0186246957145141,"Burden"
"178",0,0.389122438680787,"Burden"
"179",0,0.199612964816987,"Burden"
"180",0,0.586778111394303,"Burden"
"181",0,0.48137841062971,"Burden"
"182",0,0.668429098499014,"Burden"
"183",0,0.867643835192487,"Burden"
"184",0,0.35755141255563,"Burden"
"185",0,0.874534966233924,"Burden"
"186",0,0.0200995215548338,"Burden"
"187",1,0.749749445144526,"Burden"
"188",0,0.710033897335731,"Burden"
"189",0,0.159268277834247,"Burden"
"190",0,0.555012094309225,"Burden"
"191",0,0.0208532205680512,"Burden"
"192",0,0.0300119734066691,"Burden"
"193",0,0.251811940592843,"Burden"
"194",0,0.00461600224679263,"Burden"
"195",0,0.436166677721173,"Burden"
"196",0,0.628369667620203,"Burden"
"197",0,0.802738935485359,"Burden"
"198",0,0.0469707913505812,"Burden"
"199",0,0.000753359174323381,"Burden"
"200",0,0.547857446646625,"Burden"
